FirstName,LastName,Team,Position,ADP,Year,TeamPosRank,PosRank1_ADP,PosRank2_ADP,PosAmbiguity
Adrian,Peterson,MIN,RB,1.5,2013,RB1,1.5,,False
Doug,Martin,TAM,RB,3.66,2013,RB1,3.66,,False
Arian,Foster,HOU,RB,4.58,2013,RB1,4.58,100.71,False
Marshawn,Lynch,SEA,RB,7.64,2013,RB1,7.64,157.24,False
Jamaal,Charles,KAN,RB,7.92,2013,RB1,7.92,,False
Ray,Rice,BAL,RB,8.7,2013,RB1,8.7,130.8,False
Calvin,Johnson,DET,WR,8.99,2013,WR1,8.99,152.93,False
CJ,Spiller,BUF,RB,9.31,2013,RB1,9.31,131.07,False
Trent,Richardson,IND,RB,10.2,2013,RB1,10.2,78.73,False
LeSean,McCoy,PHI,RB,11.0,2013,RB1,11.0,127.37,False
Alfred,Morris,WAS,RB,13.93,2013,RB1,13.93,164.92,False
Matt,Forte,CHI,RB,17.02,2013,RB1,17.02,151.77,False
AJ,Green,CIN,WR,17.41,2013,WR1,17.41,164.7,False
Dez,Bryant,DAL,WR,17.78,2013,WR1,17.78,88.37,False
Chris,Johnson,TEN,RB,21.51,2013,RB1,21.51,158.92,False
Steven,Jackson,ATL,RB,21.72,2013,RB1,21.72,143.75,False
Julio,Jones,ATL,WR,21.83,2013,WR1,21.83,34.02,False
Brandon,Marshall,CHI,WR,22.96,2013,WR1,22.96,131.71,False
Jimmy,Graham,NOR,TE,24.33,2013,TE1,24.33,,False
Demaryius,Thomas,DEN,WR,24.84,2013,WR1,24.84,42.75,True
Stevan,Ridley,NWE,RB,27.29,2013,RB1,27.29,91.13,True
Maurice,JonesDrew,JAX,RB,27.45,2013,RB1,27.45,,False
Larry,Fitzgerald,ARI,WR,29.91,2013,WR1,29.91,127.07,False
Reggie,Bush,DET,RB,31.18,2013,RB1,31.18,146.47,False
Andre,Johnson,HOU,WR,31.26,2013,WR1,31.26,121.53,False
Frank,Gore,SFO,RB,32.83,2013,RB1,32.83,165.84,False
Randall,Cobb,GNB,WR,33.23,2013,WR1,33.23,55.84,True
Roddy,White,ATL,WR,34.02,2013,WR2,21.83,34.02,False
David,Wilson,NYG,RB,36.24,2013,RB1,36.24,113.89,False
Victor,Cruz,NYG,WR,36.26,2013,WR1,36.26,57.44,True
DeMarco,Murray,DAL,RB,36.73,2013,RB1,36.73,,False
Vincent,Jackson,TAM,WR,40.02,2013,WR1,40.02,99.43,True
Wes,Welker,DEN,WR,42.75,2013,WR2,24.84,42.75,True
Marques,Colston,NOR,WR,45.05,2013,WR1,45.05,105.62,True
Darren,McFadden,OAK,RB,45.96,2013,RB1,45.96,,False
Darren,Sproles,NOR,RB,46.78,2013,RB1,46.78,97.24,True
Dwayne,Bowe,KAN,WR,48.27,2013,WR1,48.27,,False
Eddie,Lacy,GNB,RB,49.06,2013,RB1,49.06,160.06,False
Rob,Gronkowski,NWE,TE,49.34,2013,TE1,49.34,,False
Danny,Amendola,NWE,WR,49.89,2013,WR1,49.89,118.1,False
Reggie,Wayne,IND,WR,50.59,2013,WR1,50.59,77.35,True
Lamar,Miller,MIA,RB,52.37,2013,RB1,52.37,,False
Jordy,Nelson,GNB,WR,55.84,2013,WR2,33.23,55.84,True
Hakeem,Nicks,NYG,WR,57.44,2013,WR2,36.26,57.44,True
Torrey,Smith,BAL,WR,57.86,2013,WR1,57.86,171.15,False
Jason,Witten,DAL,TE,59.96,2013,TE1,59.96,,False
Pierre,Garcon,WAS,WR,60.56,2013,WR1,60.56,,False
Eric,Decker,DEN,WR,60.85,2013,WR3,24.84,42.75,True
Vernon,Davis,SFO,TE,60.92,2013,TE1,60.92,,False
Montee,Ball,DEN,RB,62.24,2013,RB1,62.24,124.89,False
Ryan,Mathews,SDG,RB,63.27,2013,RB1,63.27,140.72,False
Antonio,Brown,PIT,WR,64.37,2013,WR1,64.37,128.59,False
Mike,Wallace,MIA,WR,64.45,2013,WR1,64.45,153.83,False
Tony,Gonzalez,ATL,TE,64.46,2013,TE1,64.46,,False
DeSean,Jackson,PHI,WR,69.58,2013,WR1,69.58,,False
Giovani,Bernard,CIN,RB,70.16,2013,RB1,70.16,89.44,True
Steve,Smith,CAR,WR,70.81,2013,WR1,70.81,167.16,False
James,Jones,GNB,WR,72.42,2013,WR3,33.23,55.84,True
TY,Hilton,IND,WR,77.35,2013,WR2,50.59,77.35,True
Ahmad,Bradshaw,IND,RB,78.73,2013,RB2,10.2,78.73,False
Daryl,Richardson,STL,RB,78.88,2013,RB1,78.88,152.65,False
Chris,Ivory,NYJ,RB,80.59,2013,RB1,80.59,160.6,False
LeVeon,Bell,PIT,RB,83.64,2013,RB1,83.64,152.33,False
Tavon,Austin,STL,WR,84.22,2013,WR1,84.22,118.06,False
Jermichael,Finley,GNB,TE,84.76,2013,TE1,84.76,,False
Rashard,Mendenhall,ARI,RB,85.7,2013,RB1,85.7,,False
Greg,Jennings,MIN,WR,87.12,2013,WR1,87.12,144.59,False
